2026-03-22 02:56:37,041 - grpo_trainer - INFO - Step 23/200 | reward=1.777 | correct=0.426 | hack_strict=0.000 | hack_loose=0.000 | compile=1.000 | loss=-5.1512 | lr=6.92e-05 | kl=0.0000 | time=47.2s (gen=27.7s, reward=7.6s)
2026-03-22 02:57:16,578 - grpo_trainer - INFO - Step 24/200 | reward=1.801 | correct=0.438 | hack_strict=0.000 | hack_loose=0.000 | compile=0.977 | loss=0.9334 | lr=6.91e-05 | kl=0.0000 | time=39.5s (gen=21.5s, reward=4.8s)
2026-03-22 02:57:54,544 - grpo_trainer - INFO - Step 25/200 | reward=1.262 | correct=0.254 | hack_strict=0.000 | hack_loose=0.039 | compile=1.000 | loss=-1.2459 | lr=6.89e-05 | kl=0.0000 | time=38.0s (gen=14.8s, reward=11.7s)
2026-03-22 02:58:26,949 - grpo_trainer - INFO - Step 26/200 | reward=2.867 | correct=0.715 | hack_strict=0.074 | hack_loose=0.168 | compile=1.000 | loss=-2.8412 | lr=6.88e-05 | kl=0.0000 | time=32.4s (gen=14.8s, reward=6.4s)
2026-03-22 02:59:10,711 - grpo_trainer - INFO - Step 27/200 | reward=2.467 | correct=0.617 | hack_strict=0.039 | hack_loose=0.211 | compile=0.996 | loss=-8.0526 | lr=6.86e-05 | kl=0.0000 | time=43.8s (gen=19.7s, reward=13.5s)
2026-03-22 02:59:49,438 - grpo_trainer - INFO - Step 28/200 | reward=3.453 | correct=0.586 | hack_strict=0.398 | hack_loose=0.547 | compile=1.000 | loss=0.2294 | lr=6.85e-05 | kl=0.0000 | time=38.7s (gen=18.0s, reward=10.0s)
2026-03-22 03:00:38,814 - grpo_trainer - INFO - Step 29/200 | reward=3.266 | correct=0.426 | hack_strict=0.496 | hack_loose=0.969 | compile=1.000 | loss=-0.0625 | lr=6.83e-05 | kl=0.0000 | time=49.4s (gen=19.9s, reward=18.0s)
2026-03-22 03:01:27,566 - grpo_trainer - INFO - Step 30/200 | reward=3.312 | correct=0.430 | hack_strict=0.508 | hack_loose=1.000 | compile=1.000 | loss=0.0000 | lr=6.81e-05 | kl=0.0000 | time=48.8s (gen=20.0s, reward=17.5s)
2026-03-22 03:02:13,939 - grpo_trainer - INFO - Step 31/200 | reward=3.488 | correct=0.449 | hack_strict=0.547 | hack_loose=1.000 | compile=1.000 | loss=0.1672 | lr=6.79e-05 | kl=0.0000 | time=46.4s (gen=19.8s, reward=15.3s)
2026-03-22 03:03:07,946 - grpo_trainer - INFO - Step 32/200 | reward=3.477 | correct=0.430 | hack_strict=0.562 | hack_loose=1.000 | compile=1.000 | loss=0.4252 | lr=6.77e-05 | kl=0.0000 | time=54.0s (gen=27.9s, reward=14.2s)
2026-03-22 03:03:46,981 - grpo_trainer - INFO - Step 33/200 | reward=3.500 | correct=0.605 | hack_strict=0.395 | hack_loose=1.000 | compile=1.000 | loss=0.0000 | lr=6.75e-05 | kl=0.0000 | time=39.0s (gen=15.6s, reward=11.8s)
2026-03-22 03:04:25,524 - grpo_trainer - INFO - Step 34/200 | reward=3.500 | correct=0.402 | hack_strict=0.598 | hack_loose=0.996 | compile=1.000 | loss=0.0000 | lr=6.73e-05 | kl=0.0000 | time=38.5s (gen=18.0s, reward=9.6s)
